id,title,price,price_per_sqm,rooms,area_total,area_living,area_kitchen,floor,floors_total,district,address,metro,year_built,house_type,deal_type,property_type,description,url,source,label,collected_at
cia_f8553e53,Центр набережная Дом Книги,,,,,,,,,,Санкт-Петербург,,,,sale,house,,https://spb.cian.ru/rent/flat/304796817/?context=3.HHCQlt4JKEM.gQx_xrUVGfEFJQ94hDOfx6-IZKRq8k9rbLhAx1w_ycD0JYP1OOADxGuFVG37g2zsGTN575g5oVIUDw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.940123
cia_b1a4c119,"Центр, Вид на воду , Версаль",,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/321490236/?context=3.oG9KMnSjrQM.q9aFydisc8J_XVJCp7Sx9ufcK1NT8Ao4I4HtYzkgEffH0c4VXatt7mqDMahqhzbXIEGc8XVAVofZRg&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.942222
cia_b8d19c6b,"Студия 18м, без комиссии!",26000.0,,0.0,,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/322279462/?context=3.6QChOapJGwY.FzhWIb7T98CL3RdxHNwIkWmu9SeSn4WzWXAxw-qOb4xnksAJ6_hM5fuf30-AhuHdzeOu-jP-LINNyw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.943751
cia_a11a266c,Avenue от  CITI Apartments,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/282583192/?context=3.4u9d2fRWkSM.Tqol0pjxLB9NxW5i7MXtOn9iWNBk2ecbPyOm6wBAirV_CmmZaCIlCCbWoseYrOhgVZqF4y07ViwzBw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.945842
cia_d5a6cc4b,Уютная студия в Центре СПб!,,,0.0,,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/277460983/?context=3.JtlchVn8b2g.LCLaStAQlE99VZLdi_LRvVQQnoEOWanAofHZZ0XHkJqvr6-BIKQa__ZT2Vra0o9KgHNflngxUBwSQw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.947908
cia_8aa32670,"1-комн. квартира, 32 м², 16/25 этаж",28000.0,,1.0,32.0,,,16.0,25.0,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/327658524/?context=3._vlE9ori7g0.HDj70boic88x-i_k448vK_uUz5WiFZsMJIyT7DUZ-k7yusS5gNk_BTnWoCzvVibf2A7prGWJF1em8w&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.948841
cia_1b85c4d4,Квартира центр Санкт-Петербурга,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/315831975/?context=3.nuAV6G6ajDU.95oDhrOJc1zkjXPBJdoI8Jjc5g3c2Zvk7P7UnbjQzcO4kyQH4C4Y1j17d8ltNU44M-h9alBQ6XGRHA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.950916
cia_d1851cbd,Космическая  студия у метро,,,0.0,,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/311883623/?context=3.z26bAhNO3rE.2DPzjf6nIE6n95kD_GQSNANNNhPXiDSDqiDyRYWKuToqIQc9va4K7R968z-hl8fzQGSfwmyQcBaKlw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.953305
cia_2a863de8,Уютные апартаменты у метро,37000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/318755010/?context=3.QT17uws_Gyk.VExIvj3PGQXYOFWvzQRzB0TOdn23-J40rJAO9D5eDBH2D0lpqEAIE8R8WWAAK2T2EYEnhAYc6JsouA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.955071
cia_43a751d9,Невский Гостиный двор семейная,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/284254171/?context=3._lStz-rlHMU.yKPHo-8KGXwawTSdA3nWWXLE7DAww_nz45a4ZK3VCNDr9hW5xMlQsABt0lKZTkwmA2RtnVU_rzNkEw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.957328
cia_bbb55b91,Уютная квартира с видом на канал,,,,,,,,,,Санкт-Петербург,,,,sale,house,,https://spb.cian.ru/rent/flat/202782271/?context=3.cO4qrx6UJ-c.GD9CkTQLTJfEPQbnORamahHwo9iHlyBD7He6EA0UK6posfDJlvVxOS2ia6sE3_w4CKOhXg6JMF-G6w&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.959478
cia_a58a70a4,Новая студия после ремонта,34900.0,,0.0,,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/317753100/?context=3.ntEckHxPwNA.sTknflzfH64n5mjl_LWMFSGOeGVmj12b2HQZ8XEBqmNWV_R3F1I5h0XbqsDv2T28D-cKD5zN--JQzg&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.961022
cia_d4deff0c,За Московскими Вратами,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/326768121/?context=3.T_XjdDonX-I.-qh73cuYZ4YVRyQPE1Ej4WEgn3VuwRkSIZln6caEtbL4_58Xs_lLee4tQmnc6-MRrAKZvXigJcTVXw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.963317
cia_51e1b31d,Новая красотка у вокзала метро,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/293809261/?context=3.7xx0A1Cal6E.foM23XPC4S5lD32cpjYgXu1NC-nZJuqQqwsb2V3PGYeXV91zIAJldTMZOYTfMEVH-EXWyKbs7zlCWw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.965579
cia_59a44f68,Студия в Центре города,27000.0,,0.0,,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/325556962/?context=3.NwKXTkF-ai0.MThzexUtsQ06o9MwtaolmFtRluGEPCfn30N9eJ3cIuQ-d-LNBZoeRct1i5obQf1cebiT_4_vwSlLJw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.967078
cia_ca9d10da,Magic City Premium для семьи,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/288956762/?context=3.KgOKmZaEgq0.i44K9Fc0uHRUtnXO3hU_tHrNHfvXTmV_-rw2Ler7K5WNrYHFu1ulT8PDJrksvS5EmXw13VxJoO5faw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.969106
cia_1fe4b8d1,Тихая квартира 160м2 на Мойке,,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/282017725/?context=3.d7Diwh3PG3s.kYfFTaR2nE6tCbC6v8B17IdvUt_Df4H5loDC6ZTo8Ysgh0Udbs8zP6NsfgUQVVqFgnso4lMHZMxuZA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.971150
cia_76f427cf,"На длительный срок, Свободна",26500.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/327395395/?context=3.LMFaRBtsXnk.PlH5KpFdjs2oyu8iDQQtKPONQr91oBKNszgenu6WiyJqWcNCrNuoxZs8Ob-6ZCslGENKgqcbGHpDGQ&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.972571
cia_12fcbc57,Студия с парковкой в новом ЖК,,,0.0,,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/288979490/?context=3.mcY2NnlflX4.lfmGW4WLlstZwXUdAk3en3k_sOQgEUoaGYMTQpeeKu3Sj3UeSNAJlb0Uer7TipE-UiLa0OoYRQqtKA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.974787
cia_890efc49,Микро-студия 300м от Метро,26500.0,,0.0,,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/306706578/?context=3.P4KbVudKpqs.H1pmEWDFg4DgrKcTB0SXVsLvH2GJVJSvDK3J9tsGHlGAxagz9GYy3g4vl0pw66SzAlKXTxaLEGkP9g&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.976415
cia_f939056e,Однокомнатная квартира у метро,28000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/327008513/?context=3.EeeIj5bs8jQ.WFbrjP80KwE_Ohc9AG1-oe_dXxwjBkPkS-u_YObYnejexRRTWtMDiYzKPStgzo7VM9ft9Bu89uJ7hQ&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.977508
cia_5045e514,Уютные апартаменты у метро,37000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/316613948/?context=3.kmFr3b0HIzQ.gvd7eChYRk00rCiJXqyZk96kPM7t7uzA__9aYnbd1H8YL0d1Nvwh8IBSAIxw7j9xVlLIDWXy1dCVyA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.979031
cia_7049d3dd,Комфортные апартаменты у метро,45000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/309657918/?context=3.Ic6vLj2yVv0.3G04eyb4eefmX8akEsTPq2pMfTdDkhEasZQsiMn3mcacuyW4GvMvBvu0yDQEjgAA_o-ukao3GufUuw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.980658
cia_bd7b911a,Центр на длит срок не до мая,20500.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/326049379/?context=3.CMhX1mzuhRM.6i-7F7FjL8IArFofsBEnNQhH6Py840lWVAE-M-hspPRuTMiFsAwZvTZq4j7pUdWB23bEKWWeAhtV1g&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.982148
cia_7c27f00d,Уютные апартаменты у метро,50000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/323789650/?context=3.DD9oArG8vbs.BBvliM2-0mInGs5vk14lu956sdSwdmZARhOI5gqrPPVgmJSsFUt0xMDH2rw_WcRKlHr6ePiYbgispw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.983711
cia_e4f98459,Уютные апартаменты у метро,45000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/311769527/?context=3.16q1iJ6nHmg.vBiRBh7DV1ruz4JpLkBRafMkbyOgsSFcIlfhJ0B6GMH7_4hcnuQWtzALK7InUvm0Wa8dnHAH_SQz7Q&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.985343
cia_6f1ae234,Сдается без залога на любой срок,28000.0,,,,,,,,,Санкт-Петербург,,,,sale,apartment,,https://spb.cian.ru/rent/flat/327339236/?context=3.OKBorSaMqdA.3MJ8_2VbHM2NECUpXft5bWyVfrMju7jfLZJPK_Z94id1B9H5KIKKTTloYWBofXCHNmBpMvYFJQT6cw&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.986973
cia_80f2491e,Дизайнерская видовая студия,40000.0,,0.0,,,,,,,Санкт-Петербург,,,,sale,studio,,https://spb.cian.ru/rent/flat/327808126/?context=3.A56WqJ37uHs.enFAdfvIymVDmXCx0yRtstle9UNhBy_xCSTxfNEHRkqYdbE9UMNYMKul769P8h2boL2IBr2adelD7A&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:11.988551
cia_ee14bdbf,Квартира с прямым видом на Залив!,,,,,,,,,,Санкт-Петербург,,,,sale,house,,https://spb.cian.ru/rent/flat/321563560/?context=3.eX0Q2RTSNV8.n-RFRo5J2_PbZJksHJ7Ux5-JJBm_AzbUvyyKkmJK40EiBdHO-oIoZ2Ex_cl2BExvgpqpest8j3V3uA&mlSearchSessionGuid=b0cd18b8b0158160d49f19e8cb095952,cian,sale_apartment,2026-03-15T10:53:20.756310
