id,text,price,price_currency,location,city,property_type,area_sqm,living_area_sqm,kitchen_area_sqm,rooms,floor,total_floors,building_type,build_year,label,source,collected_at,url,date_posted,metadata
spb_1,"Продается 4-комнатная квартира в Петроградский районе Санкт-Петербурга. Общая площадь 114.7 кв.м, жилая 66.7 кв.м, кухня 11.6 кв.м. 11 этаж из 11. Монолитный дом 1973 года постройки. Цена 26,916,216 руб.",26916216,RUB,Петроградский,Санкт-Петербург,Квартира,114.7,66.7,11.6,4,11,11,Монолитный,1973,Продажа,synthetic:spb_real_estate,2026-03-17T02:04:26.356352,https://example.com/listing/1,2025-05-13,"{""district"": ""Петроградский"", ""price_factor"": 1.7}"
spb_2,"Продается 3-комнатная квартира в Фрунзенский районе Санкт-Петербурга. Общая площадь 71.0 кв.м, жилая 41.7 кв.м, кухня 13.0 кв.м. 6 этаж из 12. Панельный дом 2008 года постройки. Цена 6,219,746 руб.",6219746,RUB,Фрунзенский,Санкт-Петербург,Квартира,71.0,41.7,13.0,3,6,12,Панельный,2008,Продажа,synthetic:spb_real_estate,2026-03-17T02:04:26.356898,https://example.com/listing/2,2025-09-11,"{""district"": ""Фрунзенский"", ""price_factor"": 0.8}"
spb_3,"Продается 2-комнатная квартира в Петроградский районе Санкт-Петербурга. Общая площадь 48.7 кв.м, жилая 31.8 кв.м, кухня 12.1 кв.м. 3 этаж из 5. Монолитный дом 1970 года постройки. Цена 9,707,501 руб.",9707501,RUB,Петроградский,Санкт-Петербург,Квартира,48.7,31.8,12.1,2,3,5,Монолитный,1970,Продажа,synthetic:spb_real_estate,2026-03-17T02:04:26.357287,https://example.com/listing/3,2025-06-17,"{""district"": ""Петроградский"", ""price_factor"": 1.7}"
spb_4,"Продается 4-комнатная квартира в Приморский районе Санкт-Петербурга. Общая площадь 96.0 кв.м, жилая 54.7 кв.м, кухня 16.8 кв.м. 15 этаж из 15. Монолитный дом 1957 года постройки. Цена 13,055,498 руб.",13055498,RUB,Приморский,Санкт-Петербург,Квартира,96.0,54.7,16.8,4,15,15,Монолитный,1957,Продажа,synthetic:spb_real_estate,2026-03-17T02:04:26.357804,https://example.com/listing/4,2025-08-24,"{""district"": ""Приморский"", ""price_factor"": 1.1}"
spb_5,"Продается 1-комнатная квартира в Петроградский районе Санкт-Петербурга. Общая площадь 34.4 кв.м, жилая 20.4 кв.м, кухня 9.4 кв.м. 13 этаж из 18. Монолитный дом 1983 года постройки. Цена 8,244,212 руб.",8244212,RUB,Петроградский,Санкт-Петербург,Квартира,34.4,20.4,9.4,1,13,18,Монолитный,1983,Продажа,synthetic:spb_real_estate,2026-03-17T02:04:26.358061,https://example.com/listing/5,2025-06-21,"{""district"": ""Петроградский"", ""price_factor"": 1.7}"
spb_6,"Продается 1-комнатная квартира в Красносельский районе Санкт-Петербурга. Общая площадь 44.3 кв.м, жилая 32.9 кв.м, кухня 11.1 кв.м. 13 этаж из 18. Кирпичный дом 1973 года постройки. Цена 5,637,217 руб.",5637217,RUB,Красносельский,Санкт-Петербург,Квартира,44.3,32.9,11.1,1,13,18,Кирпичный,1973,Продажа,synthetic:spb_real_estate,2026-03-17T02:04:26.358299,https://example.com/listing/6,2025-07-09,"{""district"": ""Красносельский"", ""price_factor"": 0.75}"
spb_7,"Продается 1-комнатная квартира в Кировский районе Санкт-Петербурга. Общая площадь 31.3 кв.м, жилая 17.3 кв.м, кухня 8.5 кв.м. 1 этаж из 12. Кирпичный дом 2012 года постройки. Цена 2,903,719 руб.",2903719,RUB,Кировский,Санкт-Петербург,Квартира,31.3,17.3,8.5,1,1,12,Кирпичный,2012,Продажа,synthetic:spb_real_estate,2026-03-17T02:04:26.358540,https://example.com/listing/7,2025-12-27,"{""district"": ""Кировский"", ""price_factor"": 0.85}"
spb_8,"Продается 3-комнатная квартира в Красносельский районе Санкт-Петербурга. Общая площадь 86.4 кв.м, жилая 58.8 кв.м, кухня 19.1 кв.м. 9 этаж из 9. Кирпичный дом 1982 года постройки. Цена 6,757,066 руб.",6757066,RUB,Красносельский,Санкт-Петербург,Квартира,86.4,58.8,19.1,3,9,9,Кирпичный,1982,Продажа,synthetic:spb_real_estate,2026-03-17T02:04:26.358799,https://example.com/listing/8,2026-01-15,"{""district"": ""Красносельский"", ""price_factor"": 0.75}"
spb_9,"Продается 3-комнатная квартира в Василеостровский районе Санкт-Петербурга. Общая площадь 88.0 кв.м, жилая 56.7 кв.м, кухня 11.2 кв.м. 14 этаж из 14. Монолитный дом 1963 года постройки. Цена 14,175,806 руб.",14175806,RUB,Василеостровский,Санкт-Петербург,Квартира,88.0,56.7,11.2,3,14,14,Монолитный,1963,Продажа,synthetic:spb_real_estate,2026-03-17T02:04:26.359020,https://example.com/listing/9,2025-08-23,"{""district"": ""Василеостровский"", ""price_factor"": 1.5}"
spb_10,"Продается 1-комнатная квартира в Выборгский районе Санкт-Петербурга. Общая площадь 26.6 кв.м, жилая 17.4 кв.м, кухня 11.4 кв.м. 7 этаж из 7. Кирпичный дом 1992 года постройки. Цена 3,753,299 руб.",3753299,RUB,Выборгский,Санкт-Петербург,Квартира,26.6,17.4,11.4,1,7,7,Кирпичный,1992,Продажа,synthetic:spb_real_estate,2026-03-17T02:04:26.359247,https://example.com/listing/10,2026-03-05,"{""district"": ""Выборгский"", ""price_factor"": 1.0}"
